"S. No.","Category","State/UT","Number of Cases - Registered","Number of Cases - Quashed/Stayed by Courts","Number of Cases - Chargesheeted","Number of Cases - Final Report Submitted","Number of Police Personel - Arrested","Number of Police Personel - Chargesheeted","Number of Police Personel - Cases Withdrawn/Disposed Off","Number of Police Personel - Trials were Completed","Number of Police Personel - Convicted","Number of Police Personel - Acquitted or Discharged"
"1","State","Andhra Pradesh","164","0","344","95","103","101","2","61","0","61"
"2","State","Arunachal Pradesh","9","0","1","4","0","5","0","0","0","0"
"3","State","Assam","8","4","1","2","0","1","0","0","0","0"
"4","State","Bihar","4","0","4","0","0","5","0","0","0","0"
"5","State","Chhattisgarh","20","0","10","15","0","17","3","99","3","96"
"6","State","Goa","25","0","2","13","11","11","0","1","0","1"
"7","State","Gujarat","191","10","125","34","178","176","2","23","0","23"
"8","State","Haryana","39","0","23","22","0","23","3","4","0","4"
"9","State","Himachal Pradesh","9","18","21","8","16","16","0","0","0","0"
"10","State","Jammu & Kashmir","40","0","52","45","0","28","1","36","1","35"
"11","State","Jharkhand","2","0","0","1","0","0","0","0","0","0"
"12","State","Karnataka","45","2","14","25","0","29","2","3","0","3"
"13","State","Kerala","114","4","16","55","45","31","8","6","3","3"
"14","State","Madhya Pradesh","50","0","60","36","0","48","4","264","10","254"
"15","State","Maharashtra","456","35","237","151","0","232","29","16","11","5"
"16","State","Manipur","0","0","0","0","0","0","0","0","0","0"
"17","State","Meghalaya","1","0","0","1","0","0","0","0","0","0"
"18","State","Mizoram","1","0","1","0","0","0","0","0","0","0"
"19","State","Nagaland","14","0","1","6","0","6","0","0","0","0"
"20","State","Odisha","44","14","23","18","0","12","0","0","0","0"
"21","State","Punjab","114","1","26","27","45","38","7","14","4","10"
"22","State","Rajasthan","169","7","82","57","0","29","1","1","0","1"
"23","State","Sikkim","0","0","0","0","0","0","0","0","0","0"
"24","State","Tamil Nadu","116","4","23","31","0","23","9","5","1","4"
"25","State","Telangana","87","0","18","40","47","44","3","3","0","3"
"26","State","Tripura","4","0","0","2","2","2","0","0","0","0"
"27","State","Uttar Pradesh","106","0","36","54","88","81","7","192","92","100"
"28","State","Uttarakhand","2","1","1","1","2","2","0","0","0","0"
"29","State","West Bengal","23","0","15","0","0","15","2","2","0","2"
"30","Union Territory","A & N Islands","8","0","7","0","7","7","0","0","0","0"
"31","Union Territory","Chandigarh","8","0","11","0","0","11","1","5","3","2"
"32","Union Territory","D&N Haveli","0","0","0","0","0","0","0","0","0","0"
"33","Union Territory","Daman & Diu","0","0","0","0","0","0","0","0","0","0"
"34","Union Territory","Delhi UT","13","0","4","0","5","5","0","0","0","0"
"35","Union Territory","Lakshadweep","0","0","0","0","0","0","0","0","0","0"
"36","Union Territory","Puducherry","119","0","63","51","0","2","0","0","0","0"
