"S. No.","Category","State/UT","Cases Reported","Persons Escaped - From lockup","Persons Escaped - Outside Lockup","Persons Escaped - Total","Escapees - Re-Arrested","Escapees - Absconding","Cases against Police for Negligence","Action taken for Negligence - Police Personnel Arrested","Action taken for Negligence - Police Personnel Chargesheeted","Action taken for Negligence - Police Personnel Convicted"
"1","State","Andhra Pradesh","36","3","35","38","33","4","0","0","0","1"
"2","State","Arunachal Pradesh","3","9","1","10","10","0","0","0","0","0"
"3","State","Assam","13","5","9","14","11","3","0","0","0","0"
"4","State","Bihar","62","15","50","65","43","16","0","0","4","0"
"5","State","Chhattisgarh","27","6","24","30","25","8","8","0","0","0"
"6","State","Goa","4","0","4","4","2","1","0","0","0","0"
"7","State","Gujarat","41","7","42","49","39","11","14","23","20","0"
"8","State","Haryana","25","6","22","28","22","1","4","3","3","0"
"9","State","Himachal Pradesh","9","1","11","12","10","1","2","3","5","2"
"10","State","Jammu & Kashmir","11","3","8","11","8","2","3","1","1","0"
"11","State","Jharkhand","9","0","6","6","8","1","3","0","0","0"
"12","State","Karnataka","47","10","40","50","31","9","0","1","0","0"
"13","State","Kerala","35","5","29","34","30","4","0","0","0","0"
"14","State","Madhya Pradesh","319","15","89","104","74","13","0","1","6","5"
"15","State","Maharashtra","115","18","115","133","103","19","5","1","1","0"
"16","State","Manipur","0","1","0","1","1","0","0","0","0","0"
"17","State","Meghalaya","5","0","5","5","3","2","0","0","0","0"
"18","State","Mizoram","36","1","5","6","6","0","0","0","0","0"
"19","State","Nagaland","1","0","1","1","1","0","1","1","0","0"
"20","State","Odisha","43","4","45","49","37","4","0","0","0","0"
"21","State","Punjab","64","8","62","70","68","81","30","31","4","0"
"22","State","Rajasthan","71","5","69","74","82","11","0","0","16","8"
"23","State","Sikkim","0","0","0","0","0","0","0","0","0","0"
"24","State","Tamil Nadu","21","3","20","23","22","1","0","0","0","0"
"25","State","Telangana","24","6","18","24","19","0","2","0","8","0"
"26","State","Tripura","1","1","1","2","1","1","1","0","0","0"
"27","State","Uttar Pradesh","78","19","81","100","72","43","48","91","71","37"
"28","State","Uttarakhand","10","3","7","10","4","1","5","0","5","0"
"29","State","West Bengal","24","4","20","24","15","4","0","0","0","0"
"30","Union Territory","A & N Islands","0","0","0","0","0","0","0","0","0","0"
"31","Union Territory","Chandigarh","3","1","1","2","2","1","1","0","2","0"
"32","Union Territory","D&N Haveli","1","0","1","1","0","0","0","0","0","0"
"33","Union Territory","Daman & Diu","0","0","0","0","0","0","0","0","0","0"
"34","Union Territory","Delhi UT","25","0","28","28","21","4","3","1","1","0"
"35","Union Territory","Lakshadweep","0","0","0","0","0","0","0","0","0","0"
"36","Union Territory","Puducherry","0","0","1","1","1","0","0","0","0","0"
